"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.605111791E0,2.210169792E0,1.012132406E0,1.079754829E-1,2.433294315E0
1.610087260E0,2.158040047E0,8.951697350E-1,3.096194267E-1,2.356762586E0
1.615062729E0,2.144076347E0,7.837942839E-1,4.972050190E-1,2.336366772E0
1.620038197E0,2.091800690E0,6.680546403E-1,7.567636967E-1,2.322631788E0
1.625013666E0,1.991840363E0,5.809899569E-1,9.877829552E-1,2.297975745E0
1.629989135E0,1.911249161E0,5.315314531E-1,1.066180229E0,2.252141053E0
1.634964604E0,1.840551376E0,4.954050779E-1,1.030308247E0,2.166700405E0
1.639940072E0,1.798971176E0,4.676837921E-1,9.325673580E-1,2.079593061E0
1.644915541E0,1.638610840E0,4.529466629E-1,9.206781387E-1,1.933353149E0
1.649891010E0,1.312186241E0,5.133152008E-1,1.017983198E0,1.738279327E0
1.654866479E0,1.015930176E0,6.726825237E-1,1.037909746E0,1.600585062E0
1.659841947E0,8.737459183E-1,8.214943409E-1,9.044928551E-1,1.502129224E0
1.664817416E0,8.469190598E-1,9.077382088E-1,6.181843281E-1,1.386871448E0
1.669792885E0,9.447126389E-1,9.176338911E-1,2.745532990E-1,1.345330235E0
