"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.141193330E-1,3.291265249E0,1.920670390E0,2.307627350E-1,3.817676404E0
7.166070410E-1,3.243328333E0,1.853558779E0,2.371543199E-1,3.743140525E0
7.190947500E-1,3.187934637E0,1.782186031E0,2.414153665E-1,3.660245303E0
7.215824580E-1,3.128279924E0,1.708682895E0,2.435459048E-1,3.572820612E0
7.240701660E-1,3.062233448E0,1.634114385E0,2.435459048E-1,3.479499694E0
7.265577710E-1,2.994056702E0,1.557415485E0,2.414153665E-1,3.383518864E0
7.290453230E-1,2.923749208E0,1.481781721E0,2.382195890E-1,3.286447181E0
7.315328750E-1,2.850245953E0,1.404017448E0,2.318280041E-1,3.185735584E0
7.340204270E-1,2.776742935E0,1.326253176E0,2.243711501E-1,3.085383481E0
7.365079790E-1,2.702174425E0,1.248489022E0,2.147837877E-1,2.984393328E0
7.389955310E-1,2.626540661E0,1.170724750E0,2.041311413E-1,2.882877348E0
7.414830830E-1,2.551972151E0,1.095090985E0,1.934785098E-1,2.783742096E0
7.439706350E-1,2.476338387E0,1.021587849E0,1.828258783E-1,2.685017475E0
7.464581870E-1,2.402835369E0,9.502151608E-1,1.732385010E-1,2.589698485E0
7.489457390E-1,2.328266859E0,8.820382953E-1,1.636511236E-1,2.495115190E0
7.514332910E-1,2.254763603E0,8.170571923E-1,1.551290154E-1,2.403249128E0
7.539208430E-1,2.183391094E0,7.552719116E-1,1.476721764E-1,2.315046307E0
7.564083960E-1,2.113083601E0,6.988129616E-1,1.412805915E-1,2.230117052E0
7.588959480E-1,2.044906616E0,6.466150284E-1,1.370195299E-1,2.149076177E0
7.613835000E-1,1.979925632E0,5.997434258E-1,1.338237375E-1,2.073091045E0
7.638710520E-1,1.919205666E0,5.592634082E-1,1.338237375E-1,2.003505612E0
7.663586040E-1,1.861681342E0,5.262402296E-1,1.338237375E-1,1.939251142E0
7.688461560E-1,1.808418155E0,4.996086359E-1,1.391500682E-1,1.881315432E0
7.713337080E-1,1.760481358E0,4.804339111E-1,1.466069072E-1,1.830738905E0
7.738212600E-1,1.717870831E0,4.687159956E-1,1.561942846E-1,1.787504275E0
7.763088120E-1,1.678456068E0,4.623244107E-1,1.679121852E-1,1.749043491E0
7.787963640E-1,1.644367576E0,4.623244107E-1,1.817606091E-1,1.717767593E0
7.812839160E-1,1.612409711E0,4.644549489E-1,1.956090331E-1,1.689333114E0
7.837714680E-1,1.582582355E0,4.687159956E-1,2.105227262E-1,1.663905470E0
7.862590210E-1,1.553820133E0,4.740423262E-1,2.254364192E-1,1.640089849E0
